"산업별","제조업 평균가동률"
"2002.01","75.6"
"2002.02","77.1"
"2002.03","79.2"
"2002.04","79.6"
"2002.05","78"
"2002.06","76.4"
"2002.07","78.7"
"2002.08","79.4"
"2002.09","77"
"2002.10","77.4"
"2002.11","77.5"
"2002.12","79.4"
"2003.01","77.6"
"2003.02","78.1"
"2003.03","78.1"
"2003.04","77.7"
"2003.05","76"
"2003.06","77.9"
"2003.07","73.4"
"2003.08","77.5"
"2003.09","78.2"
"2003.10","79.8"
"2003.11","78.7"
"2003.12","80.8"
"2004.01","79.6"
"2004.02","82.7"
"2004.03","80.6"
"2004.04","81.1"
"2004.05","81.5"
"2004.06","78.5"
"2004.07","77.9"
"2004.08","78.6"
"2004.09","78.8"
"2004.10","78.3"
"2004.11","80.3"
"2004.12","79.8"
"2005.01","82.7"
"2005.02","78.8"
"2005.03","81.1"
"2005.04","78.9"
"2005.05","76.6"
"2005.06","77.6"
"2005.07","77.1"
"2005.08","77.7"
"2005.09","78.2"
"2005.10","80.4"
"2005.11","83"
"2005.12","80.3"
"2006.01","82.6"
"2006.02","82.1"
"2006.03","81.4"
"2006.04","79.8"
"2006.05","79.6"
"2006.06","78.6"
"2006.07","72.6"
"2006.08","78.6"
"2006.09","81.7"
"2006.10","82.7"
"2006.11","82.5"
"2006.12","79.2"
"2007.01","80.6"
"2007.02","80.1"
"2007.03","79.8"
"2007.04","80.4"
"2007.05","80.3"
"2007.06","79.1"
"2007.07","77.8"
"2007.08","79.7"
"2007.09","78.6"
"2007.10","83.1"
"2007.11","82.7"
"2007.12","81.3"
"2008.01","83.4"
"2008.02","81.2"
"2008.03","82.4"
"2008.04","82.9"
"2008.05","79.8"
"2008.06","79.4"
"2008.07","77.8"
"2008.08","77.5"
"2008.09","76.5"
"2008.10","79.1"
"2008.11","70.1"
"2008.12","62.7"
"2009.01","62.8"
"2009.02","68.7"
"2009.03","70.5"
"2009.04","73.2"
"2009.05","73.3"
"2009.06","75.9"
"2009.07","76.9"
"2009.08","76.5"
"2009.09","79.6"
"2009.10","78.2"
"2009.11","78.9"
"2009.12","79.4"
"2010.01","79.7"
"2010.02","80"
"2010.03","80.8"
"2010.04","81"
"2010.05","80.6"
"2010.06","80.7"
"2010.07","80.9"
"2010.08","78.9"
"2010.09","79.2"
"2010.10","80.4"
"2010.11","80.6"
"2010.12","82.4"
"2011.01","84"
"2011.02","81"
"2011.03","82.2"
"2011.04","80.6"
"2011.05","80.6"
"2011.06","81.5"
"2011.07","80.4"
"2011.08","79.1"
"2011.09","79.7"
"2011.10","80.8"
"2011.11","79.9"
"2011.12","77.9"
"2012.01","79.8"
"2012.02","82.8"
"2012.03","80"
"2012.04","80.4"
"2012.05","80.2"
"2012.06","79"
"2012.07","77.6"
"2012.08","73.7"
"2012.09","76.1"
"2012.10","78"
"2012.11","78.6"
"2012.12","78.2"
"2013.01","80.9"
"2013.02","77.6"
"2013.03","76.9"
"2013.04","77.1"
"2013.05","76.4"
"2013.06","76.4"
"2013.07","74.2"
"2013.08","75.6"
"2013.09","73.5"
"2013.10","76.8"
"2013.11","76.7"
"2013.12","77.3"
"2014.01","78.7"
"2014.02","77.7"
"2014.03","78.5"
"2014.04","78.6"
"2014.05","74.9"
"2014.06","76.7"
"2014.07","77.4"
"2014.08","73.6"
"2014.09","73.8"
"2014.10","73.9"
"2014.11","74.7"
"2014.12","76.3"
"2015.01","75"
"2015.02","76"
"2015.03","74.2"
"2015.04","74.7"
"2015.05","72.6"
"2015.06","74.3"
"2015.07","73.3"
"2015.08","75.1"
"2015.09","76.3"
"2015.10","75.1"
"2015.11","74.8"
"2015.12","74"
"2016.01","73.7"
"2016.02","74.7"
"2016.03","74.5"
"2016.04","73.4"
"2016.05","75.3"
"2016.06","74.5"
"2016.07","73.9"
"2016.08","72"
"2016.09","72.5"
"2016.10","71.4"
"2016.11","75"
"2016.12","73"
"2017.01","76.1"
"2017.02","74.3"
"2017.03","75.3"
"2017.04","73.6"
"2017.05","73.7"
"2017.06","72.5"
"2017.07","73.4"
"2017.08","73.1"
"2017.09","73.3"
"2017.10","74.1"
"2017.11","73.4"
"2017.12","70.7"
"2018.01","73.7"
"2018.02","73.9"
"2018.03","72.8"
"2018.04","74.7"
"2018.05","75.5"
"2018.06","74.4"
"2018.07","74.4"
"2018.08","74.7"
"2018.09","73.1"
"2018.10","74.9"
"2018.11","73.3"
"2018.12","71.9"
"2019.01","73.2"
"2019.02","70"
"2019.03","71.7"
"2019.04","73.6"
"2019.05","72.9"
"2019.06","72.7"
"2019.07","75.6"
"2019.08","73.3"
"2019.09","75.2"
"2019.10","74.2"
"2019.11","72.7"
"2019.12","74.4"
"2020.01","73.4"
"2020.02","69.6"
"2020.03","73.2"
"2020.04","69.9"
"2020.05","63.5"
"2020.06","68.2"
"2020.07","70.1"
"2020.08","70.3"
"2020.09","73.7"
"2020.10","73.6"
"2020.11","73.7"
"2020.12","74"
"2021.01","73.6"
"2021.02","75.7"
"2021.03","74.7"
"2021.04","73.6"
"2021.05","72.9"
"2021.06","73.6"
"2021.07","75.4"
"2021.08","75.1"
"2021.09","74.8"
"2021.10","75.1"
"2021.11","76.2"
"2021.12","79.4"
"2022.01","80"
"2022.02","77.6"
"2022.03","78.3"
"2022.04","76.3"
"2022.05","74.7"
"2022.06","76.2"
"2022.07","75.4"
"2022.08","72.8"
"2022.09","72.7"
"2022.10","70.8"
"2022.11","71"
"2022.12","68.5"
"2023.01","71.4"
"2023.02","69.1"
"2023.03","72.3"
"2023.04","71.2"
"2023.05","73.5"
"2023.06","71.9"
"2023.07","70.5"
"2023.08","73"
"2023.09","73.9"
"2023.10","73.2"
"2023.11","73.2"
"2023.12","71.7"
"2024.01","72.3"
"2024.02","73.5"
"2024.03","71.5"
"2024.04","73.7"
"2024.05","72.9"
"2024.06","73.5"
"2024.07","70.8"
"2024.08","73.5"
"2024.09","73.3"
"2024.10","73.1"
"2024.11","71.1"
"2024.12","73.2"
"2025.01","73.4"
"2025.02","72.7"
"2025.03","74.5"
"2025.04","73.8"
